location_name,municipality,code_link,official_url,county_name,area_codes,Wiki Info,zips,lat,lng
Basking Ridge,Bernards Township,https://ecode360.com/9067936,https://www.bernards.org,Somerset,908,"http://en.wikipedia.org/wiki/Basking_Ridge,_New_Jersey",07920,40.7061,-74.5568
Bedminster,Bedminster Township,https://ecode360.com/35861552,https://www.bedminster.us/,Somerset,908,"http://en.wikipedia.org/wiki/Bedminster,_New_Jersey",07931 07934 07921 07979 07978,40.6693,-74.6824
Belle Mead,Montgomery Township,https://ecode360.com/34978977,https://www.montgomerynj.gov,Somerset,908,"http://en.wikipedia.org/wiki/Belle_Mead,_New_Jersey",08502 08844,40.4684,-74.6559
Berkeley Heights,Berkeley Heights Township,https://library.municode.com/nj/berkeley_heights_township/codes/code_of_ordinances?nodeId=APXAMULAUSPROR_PT6ZO,https://www.berkeleyheights.gov,Union,908,"http://en.wikipedia.org/wiki/Berkeley_Heights,_New_Jersey",07922 07974 07091,40.6764,-74.4244
Bernardsville,Bernardsville Borough,https://www.bernardsvilleboro.org/government/forms/zoning-board-of-adjustment-documents/545-bernardsville-zoning-map/file,https://www.bernardsvilleboro.org/,Somerset,908,"http://en.wikipedia.org/wiki/Bernardsville,_New_Jersey",07924,40.7268,-74.5918
Branchburg,Branchburg Township,https://ecode360.com/36039187,https://www.branchburg.nj.us/,Somerset,908,"https://en.wikipedia.org/wiki/Branchburg,_New_Jersey",08876 08853,40.5629,-74.714
Bridgewater,Bridgewater Township,https://ecode360.com/8962061,https://www.bridgewaternj.gov,Somerset,"732, 908, 908, 732/848","http://en.wikipedia.org/wiki/Bridgewater_Township,_New_Jersey",08836 08805 08807,40.5934,-74.6076
Chatham,Chatham Township,https://ecode360.com/35304966,https://chathamtownship-nj.gov,Morris,Area codes not found,"https://en.wikipedia.org/wiki/Chatham,_New_Jersey",07935 07928,40.7274,-74.4289
Clinton,Clinton Town,https://ecode360.com/12168364,https://www.clintonnj.gov,Hunterdon,Area codes not found,"http://en.wikipedia.org/wiki/Clinton,_New_Jersey",08833 08801 08809,40.6315,-74.8553
Colonia,Woodbridge Township,https://ecode360.com/6495886,https://www.twp.woodbridge.nj.us/,Middlesex,732/848,"http://en.wikipedia.org/wiki/Colonia,_New_Jersey",07067,40.5926,-74.3148
Cranbury,Cranbury Township,https://ecode360.com/6664894,https://www.cranburytownship.org,Middlesex,609,"http://en.wikipedia.org/wiki/Cranbury,_New_Jersey",08512,40.3112,-74.5202
Dunellen,Dunellen Borough,https://ecode360.com/36540438,https://www.dunellen-nj.gov,Middlesex,"732, 908","http://en.wikipedia.org/wiki/Dunellen,_New_Jersey",08812,40.5903,-74.4656
East Brunswick,East Brunswick Township,https://ecode360.com/34758262,https://www.eastbrunswick.org,Middlesex,732,"http://en.wikipedia.org/wiki/East_Brunswick,_New_Jersey",08816 08850,40.4281,-74.4179
Edison,Edison Township,https://ecode360.com/34716725,https://www.edisonnj.org,Middlesex,"732, 908, area codes 732 and 848, 908, Area code 732","http://en.wikipedia.org/wiki/Edison,_New_Jersey",08820 08817 08837 08818 08855 08899 08989,40.536,-74.3697
Fairfield,Fairfield Township,https://ecode360.com/35314662,https://www.fairfieldnj.org,Essex,Area codes not found,"https://en.wikipedia.org/wiki/Fairfield_Township,_Essex_County,_New_Jersey",07004,40.8828,-74.3041
Fanwood,Fanwood Borough,https://ecode360.com/13470133,https://www.fanwoodnj.org,Union,908,"http://en.wikipedia.org/wiki/Fanwood,_New_Jersey",07023,40.6417,-74.3857
Far Hills,Far Hills Borough,https://cms1files.revize.com/farhills/Tree%20Removal%20Permit%20Application%20r.%2012-2021%20w-ordinance.pdf,https://www.farhillsnj.org,Somerset,908,"http://en.wikipedia.org/wiki/Far_Hills,_New_Jersey",07931,40.6906,-74.6257
Flemington,Flemington Borough,https://ecode360.com/34752254,https://www.historicflemington.com,Hunterdon,908,"http://en.wikipedia.org/wiki/Flemington,_New_Jersey",08822,40.5087,-74.8599
Franklin,Franklin Township,https://ecode360.com/6274401,https://www.franklintwpnj.org,Somerset,973,"https://en.wikipedia.org/wiki/Franklin_Township,_Somerset_County,_New_Jersey",08823 08873 08528 08890 08540,40.4759,-74.5515
High Bridge,High Bridge Borough,https://ecode360.com/41434323,https://highbridge.org,Hunterdon,908,"http://en.wikipedia.org/wiki/High_Bridge,_New_Jersey",08829,40.6684,-74.894
Hillsborough,Hillsborough Township,https://ecode360.com/10254213,https://www.hillsborough-nj.org,Somerset,"732, 908","http://en.wikipedia.org/wiki/Hillsborough_Township,_New_Jersey",08821 08844,40.4985,-74.674
Hopatcong,Hopatcong Borough,https://ecode360.com/9571491,https://hopatcong.org,Sussex,NULL,"http://en.wikipedia.org/wiki/Hopatcong,_New_Jersey",07874 07821 07843 07837,40.9541,-74.6593
Lebanon,Lebanon Township,https://ecode360.com/6918619,https://lebanontownship.net,Hunterdon,908,"http://en.wikipedia.org/wiki/Lebanon,_New_Jersey",08826 07830 07865,40.7278,-74.8903
Livingston,Livingston Township,https://ecode360.com/10295328,https://www.livingstonnj.org,Essex,973,"http://en.wikipedia.org/wiki/Livingston,_New_Jersey",07039,40.7855,-74.3291
Long Valley,Washington Township,https://ecode360.com/11403972,https://www.wtmorris.org,Morris,908,"http://en.wikipedia.org/wiki/Long_Valley,_New_Jersey",07853,40.7826,-74.7776
Madison,Madison Borough,https://ecode360.com/13618568,https://rosenet.org,Morris,973,"http://en.wikipedia.org/wiki/Madison,_New_Jersey",07940,40.7586,-74.4169
Maplewood,Maplewood Township,https://ecode360.com/9417895,https://www.maplewoodnj.gov,Essex,973,"http://en.wikipedia.org/wiki/Maplewood,_New_Jersey",07040,40.733,-74.2712
Marlboro,Marlboro Township,https://ecode360.com/12875623,https://www.marlboro-nj.gov,Monmouth,732/848,"http://en.wikipedia.org/wiki/Marlboro_Township,_New_Jersey",07751 07746 07765,40.3427,-74.2567
Martinsville,Bridgewater Township,https://ecode360.com/8962061,https://www.bridgewaternj.gov,Somerset,908,"http://en.wikipedia.org/wiki/Martinsville,_New_Jersey",08836 08805 08807,40.603,-74.5751
Metuchen,Metuchen Borough,https://ecode360.com/13500449,http://www.metuchennj.org,Middlesex,732,"http://en.wikipedia.org/wiki/Metuchen,_New_Jersey",08840,40.5424,-74.3628
Middlesex,Middlesex Borough,https://ecode360.com/10337742,https://www.middlesexboro-nj.gov,Middlesex,732,"http://en.wikipedia.org/wiki/Middlesex,_New_Jersey",08846,40.5744,-74.5011
Millburn,Millburn Township,https://ecode360.com/35143140,https://www.twp.millburn.nj.us/,Essex,973,"http://en.wikipedia.org/wiki/Millburn,_New_Jersey",07078 07041,40.7394,-74.324
Mountainside,Mountainside Borough,https://mountainside.municipalcodeonline.com/book?type=ordinances#name=ARTICLE_10_ZONING_REGULATIONS,https://www.mountainside-nj.com,Union,908,"http://en.wikipedia.org/wiki/Mountainside,_New_Jersey",07092,40.6811,-74.3601
Neshanic Station,Branchburg Township,https://ecode360.com/36039187,https://www.branchburg.nj.us/,Somerset,Area codes not found,"http://en.wikipedia.org/wiki/Neshanic_Station,_New_Jersey",08853,40.5291,-74.7358
Netcong,Netcong Borough,https://ecode360.com/11256132,https://netcong.org,Morris,973,"http://en.wikipedia.org/wiki/Netcong,_New_Jersey",07857,40.8985,-74.7019
New Providence,New Providence Borough,https://ecode360.com/11261881,https://www.newprov.org,Union,"908, 973","http://en.wikipedia.org/wiki/New_Providence,_New_Jersey",07974,40.6996,-74.4035
Pennington,Pennington Borough,https://ecode360.com/10461504,https://www.penningtonboro.org,Mercer,NULL,"http://en.wikipedia.org/wiki/Pennington,_New_Jersey",08534,40.3262,-74.7908
Piscataway,Piscataway Township,https://ecode360.com/34887069,https://www.piscatawaynj.org,Middlesex,"732, 908","http://en.wikipedia.org/wiki/Piscataway,_New_Jersey",08854 08903,40.5467,-74.4636
Princeton,Princeton,https://ecode360.com/36813655,https://www.princetonnj.gov,Mercer,NULL,"http://en.wikipedia.org/wiki/Princeton,_New_Jersey",08544 08540 08542 08541,40.3562,-74.6693
Princeton Junction,West Windsor Township,https://ecode360.com/8064661,https://www.westwindsornj.org,Mercer,NULL,"http://en.wikipedia.org/wiki/Princeton_Junction,_New_Jersey",08550 08540,40.3206,-74.6237
Readington,Readington Township,https://ecode360.com/8741373,https://www.readingtontwpnj.gov,Hunterdon,908,"http://en.wikipedia.org/wiki/Readington_Township,_New_Jersey",08822 08833 08876 08889 08887 08853 08870 08885 08888,40.5822,-74.7796
Ringoes,East Amwell Township,https://ecode360.com/10036754,https://www.eastamwelltownship.com,Hunterdon,Area codes not found,"http://en.wikipedia.org/wiki/Ringoes,_New_Jersey",08559 08551,40.4327,-74.8722
Scotch Plains,Scotch Plains Township,https://ecode360.com/36466224,https://www.scotchplainsnj.gov,Union,908,"http://en.wikipedia.org/wiki/Scotch_Plains,_New_Jersey",07076,40.6332,-74.3739
Short Hills,Millburn Township,https://ecode360.com/35143140,https://www.twp.millburn.nj.us/,Essex,Area codes not found,"http://en.wikipedia.org/wiki/Short_Hills,_New_Jersey",07078,40.7389,-74.3278
Skillman,Montgomery Township,https://ecode360.com/34978977,https://www.montgomerynj.gov,Somerset,"609/640, 732/848","http://en.wikipedia.org/wiki/Skillman,_New_Jersey",08558,40.4247,-74.714
Somerset,Franklin Township,https://ecode360.com/6274401,https://www.franklintwpnj.org,Somerset,732/848,"http://en.wikipedia.org/wiki/Somerset,_New_Jersey",08873,40.5083,-74.501
Somerville,Somerville Borough,https://ecode360.com/35176492,https://www.somervillenj.org,Somerset,908,"http://en.wikipedia.org/wiki/Somerville,_New_Jersey",08876,40.5696,-74.6092
Spotswood,Spotswood Borough,https://ecode360.com/33312083,https://www.spotswoodboro.com,Middlesex,732,"http://en.wikipedia.org/wiki/Spotswood,_New_Jersey",08884,40.3949,-74.392
Springfield,Springfield Township,https://ecode360.com/35108252,https://springfield-nj.us/,Union,Area codes not found,"https://en.wikipedia.org/wiki/Springfield_Township,_Union_County,_New_Jersey",07081,40.6994,-74.3254
Stockton,Stockton Borough,https://drive.google.com/drive/folders/11MOvIAM_6mjJzGnWLxOpQul-UeZKrOLa,http://www.stocktonboronj.us/,Hunterdon,609,"http://en.wikipedia.org/wiki/Stockton,_New_Jersey",08559,40.4061,-74.9758
Summit,Summit City,https://ecode360.com/36967882,https://www.cityofsummit.org,Union,908,"http://en.wikipedia.org/wiki/Summit,_New_Jersey",07901 07902,40.7154,-74.3647
Three Bridges,Readington Township,https://ecode360.com/8741373,https://www.readingtontwpnj.gov,Hunterdon,Area codes not found,"http://en.wikipedia.org/wiki/Three_Bridges,_New_Jersey",08887,40.5205,-74.8002
Warren,Warren Township,https://ecode360.com/35251901,https://warrennj.org,Somerset,"732, 908","https://en.wikipedia.org/wiki/Warren_Township,_New_Jersey",07059,40.6323,-74.5146
Westfield,Westfield Town,https://ecode360.com/33926340,https://www.westfieldnj.gov,Union,908,"http://en.wikipedia.org/wiki/Westfield,_New_Jersey",07090,40.6516,-74.3432
Whitehouse Station,Readington Township,https://ecode360.com/8741373,https://www.readingtontwpnj.gov,Hunterdon,908,"http://en.wikipedia.org/wiki/Whitehouse_Station,_New_Jersey",08889,40.6184,-74.7443
